Survived,Pclass,Title,Sex,Age,SibSp,Parch,FamilySize,Fare,Cabin,Embarked
0,3,Miss,female,22.0,0,0,1,9.8375,0,S
0,1,Mr,male,29.69911764705882,0,0,1,52.0,1,S
0,2,Mr,male,34.0,1,0,2,21.0,0,S
0,3,Mr,male,29.0,1,0,2,7.0458,0,S
0,3,Mr,male,22.0,0,0,1,7.5208,0,S
1,3,Miss,female,2.0,0,1,2,12.2875,0,S
0,3,Master,male,9.0,5,2,8,46.9,0,S
0,2,Mr,male,29.69911764705882,0,0,1,0.0,0,S
0,3,Mr,male,50.0,0,0,1,8.05,0,S
1,3,Mrs,female,63.0,0,0,1,9.5875,0,S
1,1,Mr,male,25.0,1,0,2,91.0792,1,C
0,3,Miss,female,29.69911764705882,3,1,5,25.4667,0,S
1,1,Mrs,female,35.0,1,0,2,90.0,1,S
0,1,Mr,male,58.0,0,0,1,29.7,1,C
0,3,Mr,male,30.0,0,0,1,8.05,0,S
1,3,Master,male,9.0,1,1,3,15.9,0,S
0,3,Mr,male,29.69911764705882,1,0,2,19.9667,0,S
0,3,Mr,male,21.0,0,0,1,7.25,0,S
0,1,Mr,male,55.0,0,0,1,30.5,1,S
0,1,Mr,male,71.0,0,0,1,49.5042,0,C
0,3,Mr,male,21.0,0,0,1,8.05,0,S
0,3,Mr,male,29.69911764705882,0,0,1,14.4583,0,C
1,1,Miss,female,54.0,1,0,2,78.2667,1,C
0,3,Mr,male,29.69911764705882,0,0,1,15.1,0,S
0,1,Mrs,female,25.0,1,2,4,151.55,1,S
0,3,Mr,male,24.0,0,0,1,7.7958,0,S
0,3,Mr,male,17.0,0,0,1,8.6625,0,S
0,3,Miss,female,21.0,0,0,1,7.75,0,Q
0,3,Miss,female,29.69911764705882,0,0,1,7.6292,0,Q
0,3,Miss,female,37.0,0,0,1,9.5875,0,S
1,1,Miss,female,16.0,0,0,1,86.5,1,S
0,1,Mr,male,18.0,1,0,2,108.9,1,C
1,2,Mrs,female,33.0,0,2,3,26.0,0,S
1,1,Mr,male,29.69911764705882,0,0,1,26.55,0,S
0,3,Mr,male,28.0,0,0,1,22.525,0,S
1,3,Mr,male,26.0,0,0,1,56.4958,0,S
1,3,Mr,male,29.0,0,0,1,7.75,0,Q
0,3,Mr,male,29.69911764705882,0,0,1,8.05,0,S
1,1,Mr,male,36.0,0,0,1,26.2875,1,S
1,1,Mrs,female,54.0,1,0,2,59.4,0,C
0,3,Mr,male,24.0,0,0,1,7.4958,0,S
0,1,Mr,male,47.0,0,0,1,34.0208,1,S
1,2,Mrs,female,34.0,0,0,1,10.5,1,S
0,3,Mr,male,29.69911764705882,0,0,1,24.15,0,Q
1,2,Mrs,female,36.0,1,0,2,26.0,0,S
0,3,Mr,male,32.0,0,0,1,7.8958,0,S
1,1,Miss,female,30.0,0,0,1,93.5,1,S
0,3,Mr,male,22.0,0,0,1,7.8958,0,S
0,3,Mr,male,29.69911764705882,0,0,1,7.225,0,C
1,1,Mrs,female,44.0,0,1,2,57.9792,1,C
0,3,Mr,male,29.69911764705882,0,0,1,7.2292,0,C
0,3,Mr,male,40.5,0,0,1,7.75,0,Q
1,2,Miss,female,50.0,0,0,1,10.5,0,S
0,1,Mr,male,29.69911764705882,0,0,1,221.7792,1,S
0,3,Mr,male,39.0,0,0,1,7.925,0,S
0,2,Mr,male,23.0,2,1,4,11.5,0,S
1,2,Miss,female,2.0,1,1,3,26.0,0,S
0,3,Mr,male,29.69911764705882,0,0,1,7.2292,0,C
0,3,Mr,male,17.0,1,1,3,7.2292,0,C
1,3,Mrs,female,29.69911764705882,0,2,3,22.3583,0,C
0,3,Miss,female,30.0,0,0,1,8.6625,0,S
1,2,Miss,female,7.0,0,2,3,26.25,0,S
0,1,Rare,male,45.0,0,0,1,26.55,1,S
1,1,Miss,female,30.0,0,0,1,106.425,0,C
0,3,Mr,male,29.69911764705882,0,0,1,14.5,0,S
1,1,Miss,female,22.0,0,2,3,49.5,1,C
1,1,Miss,female,36.0,0,2,3,71.0,1,S
0,3,Miss,female,9.0,4,2,7,31.275,0,S
0,3,Miss,female,11.0,4,2,7,31.275,0,S
1,2,Mr,male,32.0,1,0,2,26.0,0,S
0,1,Mr,male,50.0,1,0,2,106.425,1,C
0,1,Mr,male,64.0,0,0,1,26.0,0,S
1,2,Mrs,female,19.0,1,0,2,26.0,0,S
1,2,Mr,male,29.69911764705882,0,0,1,13.8625,0,C
0,3,Mr,male,33.0,1,1,3,20.525,0,S
1,2,Master,male,8.0,1,1,3,36.75,0,S
1,1,Mr,male,17.0,0,2,3,110.8833,1,C
0,2,Mr,male,27.0,0,0,1,26.0,0,S
0,3,Mr,male,29.69911764705882,0,0,1,7.8292,0,Q
1,3,Mr,male,22.0,0,0,1,7.225,0,C
1,3,Miss,female,22.0,0,0,1,7.775,0,S
0,1,Mr,male,62.0,0,0,1,26.55,0,S
1,1,Rare,female,48.0,1,0,2,39.6,1,C
0,1,Mr,male,29.69911764705882,0,0,1,227.525,0,C
1,1,Mrs,female,39.0,1,1,3,79.65,1,S
1,3,Mrs,female,36.0,1,0,2,17.4,0,S
0,3,Mr,male,29.69911764705882,0,0,1,7.75,0,Q
0,3,Mr,male,40.0,0,0,1,7.8958,0,S
0,2,Mr,male,28.0,0,0,1,13.5,0,S
0,3,Mr,male,29.69911764705882,0,0,1,8.05,0,S
0,3,Miss,female,29.69911764705882,0,0,1,8.05,0,S
0,3,Mr,male,24.0,2,0,3,24.15,0,S
0,3,Mr,male,19.0,0,0,1,7.8958,0,S
0,3,Mrs,female,29.0,0,4,5,21.075,0,S
0,3,Mr,male,29.69911764705882,0,0,1,7.2292,0,C
1,3,Mr,male,32.0,0,0,1,7.8542,0,S
1,2,Mr,male,62.0,0,0,1,10.5,0,S
1,1,Mrs,female,53.0,2,0,3,51.4792,1,S
1,1,Mr,male,36.0,0,0,1,26.3875,1,S
1,3,Miss,female,29.69911764705882,0,0,1,7.75,0,Q
0,3,Mr,male,16.0,0,0,1,8.05,0,S
0,3,Mr,male,19.0,0,0,1,14.5,0,S
1,2,Miss,female,34.0,0,0,1,13.0,0,S
1,1,Mrs,female,39.0,1,0,2,55.9,1,S
0,3,Mrs,female,29.69911764705882,1,0,2,14.4583,0,C
1,3,Mr,male,32.0,0,0,1,7.925,0,S
1,2,Miss,female,25.0,1,1,3,30.0,0,S
1,1,Mrs,female,39.0,1,1,3,110.8833,1,C
0,2,Mr,male,54.0,0,0,1,26.0,0,S
0,1,Mr,male,36.0,0,0,1,40.125,1,C
0,3,Mr,male,29.69911764705882,0,0,1,8.7125,0,C
1,1,Miss,female,18.0,0,2,3,79.65,1,S
0,2,Mr,male,47.0,0,0,1,15.0,0,S
1,1,Mr,male,60.0,1,1,3,79.2,1,C
0,3,Mr,male,22.0,0,0,1,8.05,0,S
0,3,Mr,male,29.69911764705882,0,0,1,8.05,0,S
0,3,Mr,male,35.0,0,0,1,7.125,0,S
1,1,Mrs,female,52.0,1,0,2,78.2667,1,C
0,3,Mr,male,47.0,0,0,1,7.25,0,S
0,3,Miss,female,29.69911764705882,0,2,3,7.75,0,Q
0,2,Mr,male,37.0,1,0,2,26.0,0,S
0,3,Mr,male,36.0,1,1,3,24.15,0,S
1,2,Miss,female,29.69911764705882,0,0,1,33.0,0,S
0,3,Mr,male,49.0,0,0,1,0.0,0,S
0,3,Mr,male,29.69911764705882,0,0,1,7.225,0,C
1,1,Rare,male,49.0,1,0,2,56.9292,1,C
1,2,Mrs,female,24.0,2,1,4,27.0,0,S
0,3,Mr,male,29.69911764705882,0,0,1,7.8958,0,S
0,1,Mr,male,29.69911764705882,0,0,1,42.4,0,S
0,3,Mr,male,44.0,0,0,1,8.05,0,S
1,1,Mr,male,35.0,0,0,1,26.55,0,C
0,3,Mr,male,36.0,1,0,2,15.55,0,S
0,3,Mr,male,30.0,0,0,1,7.8958,0,S
1,1,Mr,male,27.0,0,0,1,30.5,0,S
1,2,Mrs,female,22.0,1,2,4,41.5792,0,C
1,1,Miss,female,40.0,0,0,1,153.4625,1,S
0,3,Mrs,female,39.0,1,5,7,31.275,0,S
0,3,Mr,male,29.69911764705882,0,0,1,7.05,0,S
1,3,Miss,female,29.69911764705882,1,0,2,15.5,0,Q
0,3,Mr,male,29.69911764705882,0,0,1,7.75,0,Q
0,3,Mr,male,35.0,0,0,1,8.05,0,S
1,2,Miss,female,24.0,1,2,4,65.0,0,S
0,3,Mr,male,34.0,1,1,3,14.4,0,S
0,3,Mrs,female,26.0,1,0,2,16.1,0,S
1,2,Miss,female,4.0,2,1,4,39.0,1,S
0,2,Mr,male,26.0,0,0,1,10.5,0,S
0,3,Mr,male,27.0,1,0,2,14.4542,0,C
1,1,Mr,male,42.0,1,0,2,52.5542,1,S
1,3,Mr,male,20.0,1,1,3,15.7417,0,C
0,3,Mr,male,21.0,0,0,1,7.8542,0,S
0,3,Mr,male,21.0,0,0,1,16.1,0,S
0,1,Mr,male,61.0,0,0,1,32.3208,1,S
0,2,Rare,male,57.0,0,0,1,12.35,0,Q
1,1,Miss,female,21.0,0,0,1,77.9583,1,S
0,3,Mr,male,26.0,0,0,1,7.8958,0,S
0,3,Mr,male,29.69911764705882,0,0,1,7.7333,0,Q
1,1,Mr,male,80.0,0,0,1,30.0,1,S
0,3,Mr,male,51.0,0,0,1,7.0542,0,S
1,1,Rare,male,32.0,0,0,1,30.5,1,C
0,1,Mr,male,29.69911764705882,0,0,1,0.0,0,S
0,3,Miss,female,9.0,3,2,6,27.9,0,S
1,2,Miss,female,28.0,0,0,1,13.0,0,S
0,3,Mr,male,32.0,0,0,1,7.925,0,S
0,2,Mr,male,31.0,1,1,3,26.25,0,S
0,3,Mrs,female,41.0,0,5,6,39.6875,0,S
0,3,Mr,male,29.69911764705882,1,0,2,16.1,0,S
0,3,Mr,male,20.0,0,0,1,7.8542,0,S
1,1,Miss,female,24.0,0,0,1,69.3,1,C
0,3,Miss,female,2.0,3,2,6,27.9,0,S
1,3,Mr,male,29.69911764705882,0,0,1,56.4958,0,S
1,3,Miss,female,0.75,2,1,4,19.2583,0,C
1,1,Mr,male,48.0,1,0,2,76.7292,1,C
0,3,Mr,male,19.0,0,0,1,7.8958,0,S
1,1,Rare,male,56.0,0,0,1,35.5,1,C
0,3,Mr,male,29.69911764705882,0,0,1,7.55,0,S
1,3,Miss,female,23.0,0,0,1,7.55,0,S
0,3,Mr,male,29.69911764705882,0,0,1,7.8958,0,S
1,2,Miss,female,18.0,0,1,2,23.0,0,S
0,3,Mr,male,21.0,0,0,1,8.4333,0,S
1,3,Miss,female,29.69911764705882,0,0,1,7.8292,0,Q
0,3,Miss,female,18.0,0,0,1,6.75,0,Q
0,2,Mr,male,24.0,2,0,3,73.5,0,S
0,3,Mr,male,29.69911764705882,0,0,1,7.8958,0,S
0,3,Mrs,female,32.0,1,1,3,15.5,0,Q
0,2,Mr,male,23.0,0,0,1,13.0,0,S
0,1,Mr,male,58.0,0,2,3,113.275,1,C
1,1,Rare,male,50.0,2,0,3,133.65,0,S
0,3,Mr,male,40.0,0,0,1,7.225,0,C
0,1,Mr,male,47.0,0,0,1,25.5875,1,S
0,3,Mr,male,36.0,0,0,1,7.4958,0,S
1,3,Mr,male,20.0,1,0,2,7.925,0,S
0,2,Mr,male,32.0,2,0,3,73.5,0,S
0,2,Mr,male,25.0,0,0,1,13.0,0,S
0,3,Mr,male,29.69911764705882,0,0,1,7.775,0,S
0,3,Mr,male,43.0,0,0,1,8.05,0,S
1,1,Mrs,female,29.69911764705882,1,0,2,52.0,1,S
1,2,Mrs,female,40.0,1,1,3,39.0,0,S
0,1,Mr,male,31.0,1,0,2,52.0,1,S
0,2,Mr,male,70.0,0,0,1,10.5,0,S
1,2,Mr,male,31.0,0,0,1,13.0,0,S
0,2,Mr,male,29.69911764705882,0,0,1,0.0,0,S
0,3,Mr,male,18.0,0,0,1,7.775,0,S
0,3,Mr,male,24.5,0,0,1,8.05,0,S
1,3,Miss,female,18.0,0,0,1,9.8417,0,S
0,3,Mrs,female,43.0,1,6,8,46.9,0,S
1,1,Mr,male,36.0,0,1,2,512.3292,1,C
0,3,Miss,female,29.69911764705882,0,0,1,8.1375,0,Q
1,1,Mr,male,27.0,0,0,1,76.7292,1,C
0,3,Mr,male,20.0,0,0,1,9.225,0,S
0,3,Mr,male,14.0,5,2,8,46.9,0,S
0,2,Mr,male,60.0,1,1,3,39.0,0,S
0,2,Mr,male,25.0,1,2,4,41.5792,0,C
0,3,Mr,male,14.0,4,1,6,39.6875,0,S
0,3,Mr,male,19.0,0,0,1,10.1708,0,S
0,3,Mr,male,18.0,0,0,1,7.7958,0,S
1,1,Miss,female,15.0,0,1,2,211.3375,1,S
1,1,Mr,male,31.0,1,0,2,57.0,1,S
1,3,Miss,female,4.0,0,1,2,13.4167,0,C
1,3,Mr,male,29.69911764705882,0,0,1,56.4958,0,S
0,3,Mr,male,25.0,0,0,1,7.225,0,C
0,1,Rare,male,60.0,0,0,1,26.55,0,S
0,2,Mr,male,52.0,0,0,1,13.5,0,S
0,3,Mr,male,44.0,0,0,1,8.05,0,S
1,3,Miss,female,29.69911764705882,0,0,1,7.7333,0,Q
0,1,Mr,male,49.0,1,1,3,110.8833,1,C
0,3,Mr,male,42.0,0,0,1,7.65,1,S
1,1,Mrs,female,18.0,1,0,2,227.525,1,C
1,1,Mr,male,35.0,0,0,1,26.2875,1,S
0,3,Miss,female,18.0,0,1,2,14.4542,0,C
0,3,Mr,male,25.0,0,0,1,7.7417,0,Q
0,3,Mr,male,26.0,1,0,2,7.8542,0,S
0,2,Mr,male,39.0,0,0,1,26.0,0,S
1,2,Mrs,female,45.0,0,0,1,13.5,0,S
1,1,Mr,male,42.0,0,0,1,26.2875,1,S
1,1,Miss,female,22.0,0,0,1,151.55,0,S
1,3,Master,male,29.69911764705882,1,1,3,15.2458,0,C
1,1,Miss,female,24.0,0,0,1,49.5042,1,C
0,1,Mr,male,29.69911764705882,0,0,1,26.55,1,S
1,1,Mr,male,48.0,1,0,2,52.0,1,S
0,3,Mr,male,29.0,0,0,1,9.4833,0,S
0,2,Mr,male,52.0,0,0,1,13.0,0,S
0,3,Mr,male,19.0,0,0,1,7.65,1,S
1,1,Miss,female,38.0,0,0,1,227.525,1,C
1,2,Miss,female,27.0,0,0,1,10.5,1,S
0,3,Mr,male,29.69911764705882,0,0,1,15.5,0,Q
0,3,Mr,male,33.0,0,0,1,7.775,0,S
1,2,Miss,female,6.0,0,1,2,33.0,0,S
0,3,Mr,male,17.0,1,0,2,7.0542,0,S
0,2,Mr,male,34.0,0,0,1,13.0,0,S
0,2,Mr,male,50.0,0,0,1,13.0,0,S
1,1,Mr,male,27.0,1,0,2,53.1,1,S
0,3,Mr,male,20.0,0,0,1,8.6625,0,S
1,2,Mrs,female,30.0,3,0,4,21.0,0,S
1,3,Miss,female,29.69911764705882,0,0,1,7.7375,0,Q
0,2,Mr,male,25.0,1,0,2,26.0,0,S
0,3,Miss,female,25.0,1,0,2,7.925,0,S
1,1,Miss,female,29.0,0,0,1,211.3375,1,S
0,3,Mr,male,11.0,0,0,1,18.7875,0,C
0,2,Mr,male,29.69911764705882,0,0,1,0.0,0,S
0,2,Mr,male,23.0,0,0,1,13.0,0,S
0,2,Mr,male,23.0,0,0,1,13.0,0,S
0,3,Mr,male,28.5,0,0,1,16.1,0,S
0,3,Mrs,female,48.0,1,3,5,34.375,0,S
1,1,Mr,male,35.0,0,0,1,512.3292,1,C
0,3,Mr,male,29.69911764705882,0,0,1,7.8958,0,S
0,3,Mr,male,29.69911764705882,0,0,1,7.8958,0,S
1,1,Mr,male,29.69911764705882,0,0,1,30.0,1,S
0,1,Mr,male,36.0,1,0,2,78.85,1,S
1,1,Miss,female,21.0,2,2,5,262.375,1,C
0,3,Mr,male,24.0,1,0,2,16.1,0,S
1,3,Mr,male,31.0,0,0,1,7.925,0,S
0,1,Rare,male,70.0,1,1,3,71.0,1,S
0,3,Mr,male,16.0,1,1,3,20.25,0,S
1,2,Miss,female,30.0,0,0,1,13.0,0,S
0,1,Mr,male,19.0,1,0,2,53.1,1,S
0,3,Mr,male,31.0,0,0,1,7.75,0,Q
1,2,Miss,female,4.0,1,1,3,23.0,0,S
1,3,Master,male,6.0,0,1,2,12.475,1,S
0,3,Mr,male,33.0,0,0,1,9.5,0,S
0,3,Mr,male,23.0,0,0,1,7.8958,0,S
1,2,Mrs,female,48.0,1,2,4,65.0,0,S
1,2,Master,male,0.67,1,1,3,14.5,0,S
0,3,Mr,male,28.0,0,0,1,7.7958,0,S
0,2,Mr,male,18.0,0,0,1,11.5,0,S
0,3,Mr,male,34.0,0,0,1,8.05,0,S
1,1,Rare,female,33.0,0,0,1,86.5,1,S
0,3,Mr,male,29.69911764705882,0,0,1,14.5,0,S
0,3,Mr,male,41.0,0,0,1,7.125,0,S
1,3,Mr,male,20.0,0,0,1,7.2292,0,C
1,1,Mrs,female,36.0,1,2,4,120.0,1,S
0,3,Mr,male,16.0,0,0,1,7.775,0,S
1,1,Mrs,female,51.0,1,0,2,77.9583,1,S
0,1,Rare,male,29.69911764705882,0,0,1,39.6,0,C
0,3,Miss,female,30.5,0,0,1,7.75,0,Q
0,3,Mr,male,29.69911764705882,1,0,2,24.15,0,Q
0,3,Mr,male,32.0,0,0,1,8.3625,0,S
0,3,Mr,male,24.0,0,0,1,9.5,0,S
0,3,Mr,male,48.0,0,0,1,7.8542,0,S
0,2,Mrs,female,57.0,0,0,1,10.5,1,S
0,3,Mr,male,29.69911764705882,0,0,1,7.225,0,C
1,2,Mrs,female,54.0,1,3,5,23.0,0,S
0,3,Mr,male,18.0,0,0,1,7.75,0,S
0,3,Mr,male,29.69911764705882,0,0,1,7.75,1,Q
1,3,Miss,female,5.0,0,0,1,12.475,0,S
0,3,Mr,male,29.69911764705882,0,0,1,7.7375,0,Q
1,1,Mrs,female,43.0,0,1,2,211.3375,1,S
1,3,Miss,female,13.0,0,0,1,7.2292,0,C
1,1,Mrs,female,17.0,1,0,2,57.0,1,S
0,1,Mr,male,29.0,0,0,1,30.0,1,S
0,3,Mr,male,29.69911764705882,1,2,4,23.45,0,S
0,3,Mr,male,25.0,0,0,1,7.05,0,S
0,3,Mr,male,25.0,0,0,1,7.25,0,S
1,3,Miss,female,18.0,0,0,1,7.4958,0,S
0,3,Master,male,8.0,4,1,6,29.125,0,Q
1,3,Master,male,1.0,1,2,4,20.575,0,S
0,1,Mr,male,46.0,0,0,1,79.2,1,C
0,3,Mr,male,29.69911764705882,0,0,1,7.75,0,Q
0,2,Mr,male,16.0,0,0,1,26.0,0,S
0,3,Miss,female,29.69911764705882,8,2,11,69.55,0,S
0,1,Mr,male,29.69911764705882,0,0,1,30.6958,0,C
0,3,Mr,male,25.0,0,0,1,7.8958,0,S
0,2,Mr,male,39.0,0,0,1,13.0,0,S
1,1,Rare,female,49.0,0,0,1,25.9292,1,S
1,3,Mrs,female,31.0,0,0,1,8.6833,0,S
0,3,Mr,male,30.0,0,0,1,7.2292,0,C
0,3,Mrs,female,30.0,1,1,3,24.15,0,S
0,2,Mr,male,34.0,0,0,1,13.0,0,S
1,2,Mrs,female,31.0,1,1,3,26.25,0,S
1,1,Master,male,11.0,1,2,4,120.0,1,S
1,3,Master,male,0.42,0,1,2,8.5167,0,C
1,3,Mr,male,27.0,0,0,1,6.975,0,S
0,3,Mr,male,31.0,0,0,1,7.775,0,S
0,1,Mr,male,39.0,0,0,1,0.0,1,S
0,3,Miss,female,18.0,0,0,1,7.775,0,S
0,2,Mr,male,39.0,0,0,1,13.0,0,S
1,1,Mrs,female,33.0,1,0,2,53.1,1,S
0,3,Mr,male,26.0,0,0,1,7.8875,0,S
0,3,Mr,male,39.0,0,0,1,24.15,0,S
0,2,Mr,male,35.0,0,0,1,10.5,0,S
0,3,Miss,female,6.0,4,2,7,31.275,0,S
0,3,Mr,male,30.5,0,0,1,8.05,0,S
0,1,Mr,male,29.69911764705882,0,0,1,0.0,1,S
0,3,Miss,female,23.0,0,0,1,7.925,0,S
0,2,Mr,male,31.0,1,1,3,37.0042,0,C
0,3,Mr,male,43.0,0,0,1,6.45,0,S
0,3,Master,male,10.0,3,2,6,27.9,0,S
1,1,Mrs,female,52.0,1,1,3,93.5,1,S
1,3,Mr,male,27.0,0,0,1,8.6625,0,S
0,1,Rare,male,38.0,0,0,1,0.0,0,S
1,3,Mrs,female,27.0,0,1,2,12.475,1,S
0,3,Master,male,2.0,4,1,6,39.6875,0,S
0,3,Mr,male,29.69911764705882,0,0,1,6.95,0,Q
0,3,Mr,male,29.69911764705882,0,0,1,56.4958,0,S
1,2,Master,male,1.0,0,2,3,37.0042,0,C
1,3,Mr,male,29.69911764705882,0,0,1,7.75,0,Q
1,1,Mrs,female,62.0,0,0,1,80.0,1,S
1,3,Mrs,female,15.0,1,0,2,14.4542,0,C
1,2,Master,male,0.83,1,1,3,18.75,0,S
0,3,Mr,male,29.69911764705882,0,0,1,7.2292,0,C
0,3,Mr,male,23.0,0,0,1,7.8542,0,S
0,3,Mr,male,18.0,0,0,1,8.3,0,S
1,1,Miss,female,39.0,1,1,3,83.1583,1,C
0,3,Mr,male,21.0,0,0,1,8.6625,0,S
0,3,Mr,male,29.69911764705882,0,0,1,8.05,0,S
1,3,Mr,male,32.0,0,0,1,56.4958,0,S
1,1,Mr,male,29.69911764705882,0,0,1,29.7,1,C
0,3,Mr,male,20.0,0,0,1,7.925,0,S
0,2,Mr,male,16.0,0,0,1,10.5,0,S
1,1,Miss,female,30.0,0,0,1,31.0,0,C
0,3,Mr,male,34.5,0,0,1,6.4375,0,C
0,3,Mr,male,17.0,0,0,1,8.6625,0,S
0,3,Mr,male,42.0,0,0,1,7.55,0,S
0,3,Mr,male,29.69911764705882,8,2,11,69.55,0,S
0,3,Mr,male,35.0,0,0,1,7.8958,0,C
0,2,Rare,male,28.0,0,1,2,33.0,0,S
1,1,Mrs,female,29.69911764705882,1,0,2,89.1042,1,C
0,3,Master,male,4.0,4,2,7,31.275,0,S
0,3,Mr,male,74.0,0,0,1,7.775,0,S
0,3,Miss,female,9.0,1,1,3,15.2458,0,C
1,1,Miss,female,16.0,0,1,2,39.4,1,S
0,2,Mrs,female,44.0,1,0,2,26.0,0,S
1,3,Mrs,female,18.0,0,1,2,9.35,0,S
1,1,Mrs,female,45.0,1,1,3,164.8667,0,S
1,1,Mr,male,51.0,0,0,1,26.55,1,S
1,3,Mrs,female,24.0,0,3,4,19.2583,0,C
0,3,Mr,male,29.69911764705882,0,0,1,7.2292,0,C
0,3,Mr,male,41.0,2,0,3,14.1083,0,S
0,2,Mr,male,21.0,1,0,2,11.5,0,S
1,1,Mrs,female,48.0,0,0,1,25.9292,1,S
0,3,Miss,female,29.69911764705882,8,2,11,69.55,0,S
0,2,Mr,male,24.0,0,0,1,13.0,0,S
1,2,Mrs,female,42.0,0,0,1,13.0,0,S
1,2,Miss,female,27.0,1,0,2,13.8583,0,C
0,1,Mr,male,31.0,0,0,1,50.4958,1,S
0,3,Mr,male,29.69911764705882,0,0,1,9.5,0,S
1,3,Master,male,4.0,1,1,3,11.1333,0,S
0,3,Mr,male,26.0,0,0,1,7.8958,0,S
1,1,Mrs,female,47.0,1,1,3,52.5542,1,S
0,1,Mr,male,33.0,0,0,1,5.0,1,S
0,3,Mr,male,47.0,0,0,1,9.0,0,S
1,2,Mrs,female,28.0,1,0,2,24.0,0,C
1,3,Miss,female,15.0,0,0,1,7.225,0,C
0,3,Mr,male,20.0,0,0,1,9.8458,0,S
0,3,Mr,male,19.0,0,0,1,7.8958,0,S
0,3,Mr,male,29.69911764705882,0,0,1,7.8958,0,S
1,1,Mrs,female,56.0,0,1,2,83.1583,1,C
1,2,Mrs,female,25.0,0,1,2,26.0,0,S
0,3,Mr,male,33.0,0,0,1,7.8958,0,S
0,3,Miss,female,22.0,0,0,1,10.5167,0,S
0,2,Mr,male,28.0,0,0,1,10.5,0,S
0,3,Mr,male,25.0,0,0,1,7.05,0,S
0,3,Mrs,female,39.0,0,5,6,29.125,0,Q
0,2,Rare,male,27.0,0,0,1,13.0,0,S
1,1,Miss,female,19.0,0,0,1,30.0,1,S
0,3,Miss,female,29.69911764705882,1,2,4,23.45,0,S
1,1,Mr,male,26.0,0,0,1,30.0,1,C
0,3,Mr,male,32.0,0,0,1,7.75,0,Q
