ProvinceKey,ProvinceName,ProvinceNameEng,RegionKey,Region,RegionEng,ExpenditureTypeKey,ExpenditureType,ExpenditureTypeEng,Year,FarmPlantAnimalOwningLand,FarmPlantAnimalRentingLand,FarmFishingForestryHuntingAgri,EntrepreneurNonAgricultureBusiness,ProfessionalTechnicianManager,EmployeeLabourInAgriForestyFishery,EmployeeLabourInLogisticTransportation,EmployeeLabourInClericalSaleServices,EmployeeLabourInProductionConstruction,EconomicInactive,
80,นครศรีธรรมราช       ,Nakhon Si Thammarat ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,17,การเดินทาง และการสื่อสาร,Transport and communication,2558,4982,4753,7209,8072,8004,2885,2113,3341,3057,2105,
80,นครศรีธรรมราช       ,Nakhon Si Thammarat ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,18,การศึกษา,Education,2558,215,63,187,231,801,175,22,248,255,122,
80,นครศรีธรรมราช       ,Nakhon Si Thammarat ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,19,การบันเทิง การอ่านและกิจกรรมทางศาสนา,Recreation, Reading and Religious Activity,2558,319,133,36,342,380,125,68,185,139,246
80,นครศรีธรรมราช       ,Nakhon Si Thammarat ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,20,การจัดงานพิธีในโอกาสพิเศษ,Special ceremony expenses,2558,130,1144,0,80,121,206,0,89,17,760,
80,นครศรีธรรมราช       ,Nakhon Si Thammarat ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,21,ค่าใช้จ่ายที่ไม่เกี่ยวกับการอุปโภคบริโภค ,Non - consumption expenditures,2558,2561,2656,6814,3069,6762,1709,701,2058,1422,1134,
83,ภูเก็ต              ,Phuket              ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,10,อาหารและเครื่องดื่ม (ไม่มีแอลกอฮอล์),Food and Beverages (excludes alcoholic),2556,13633.9,5293.3,7186.2,9793.4,9576.5,6835.6,7420.4,9077.6,8073.5,6554.8,
83,ภูเก็ต              ,Phuket              ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,11,เครื่องดื่มที่มีแอลกอฮอล์ ,Alcoholic beverages ,2556,0,0,199.2,106,30.1,0,16.8,184.9,28.8,0,
83,ภูเก็ต              ,Phuket              ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,12,ยาสูบ หมาก ยานัตถุ์ และอื่นๆ,Tobacco products,2556,0,0,848.6,209.4,51.9,0,67.2,186.2,60.3,24.1,
83,ภูเก็ต              ,Phuket              ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,13,ที่อยู่อาศัย เครื่องแต่งบ้านและเครื่องใช้,Household operation, furnitures and equipment,2556,10288.5,5605,4815.8,6931.7,6843,2575.9,3157.9,4782.2,3417.1,8849.6
83,ภูเก็ต              ,Phuket              ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,14,เครื่องนุ่งห่มและรองเท้า,Apparel and footwear ,2556,678.1,0,136.1,738.1,771,0,420.8,664.6,203.8,461.8,
83,ภูเก็ต              ,Phuket              ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,15,ค่าใช้จ่ายส่วนบุคคล,Personal care,2556,504,680,699.5,1149.6,1224.7,462.7,571.7,1168.3,578.1,669.8,
83,ภูเก็ต              ,Phuket              ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,16,เวชภัณฑ์ และค่าตรวจรักษาพยาบาล,Medical and health care,2556,11.7,180,270.9,379.3,206.1,554.8,190.5,211.6,140.8,638.2,
83,ภูเก็ต              ,Phuket              ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,17,การเดินทาง และการสื่อสาร,Transport and communication,2556,7720.7,4732,2284.6,4854.3,6945.9,1724.8,3708.9,4663.4,2457.4,3646.7,
83,ภูเก็ต              ,Phuket              ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,18,การศึกษา,Education,2556,448,17,0,358.3,427.7,203.2,239.5,282.1,80.5,169.8,
83,ภูเก็ต              ,Phuket              ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,19,การบันเทิง การอ่านและกิจกรรมทางศาสนา,Recreation, Reading and Religious Activity,2556,70.2,430,182.3,459.6,369.9,0,173.2,257.8,0,260.6
83,ภูเก็ต              ,Phuket              ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,20,การจัดงานพิธีในโอกาสพิเศษ,Special ceremony expenses,2556,0,0,12,17.6,8.5,0,0,5.6,0,12,
83,ภูเก็ต              ,Phuket              ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,21,ค่าใช้จ่ายที่ไม่เกี่ยวกับการอุปโภคบริโภค ,Non - consumption expenditures,2556,1180.7,179,130.4,1958.4,2972.6,31.5,1082.6,2056,1447.9,1282.8,
83,ภูเก็ต              ,Phuket              ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,10,อาหารและเครื่องดื่ม (ไม่มีแอลกอฮอล์),Food and Beverages (excludes alcoholic),2558,8841.1,0,0,11552.7,13199.4,5545.5,6590.2,9245.9,6279,7342.4,
83,ภูเก็ต              ,Phuket              ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,11,เครื่องดื่มที่มีแอลกอฮอล์ ,Alcoholic beverages ,2558,0,0,0,77.6,72,72.7,168.2,91.4,193,8,
83,ภูเก็ต              ,Phuket              ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,12,ยาสูบ หมาก ยานัตถุ์ และอื่นๆ,Tobacco products,2558,245.1,0,0,176.1,106.2,265.2,253.7,243.3,213.4,5.8,
83,ภูเก็ต              ,Phuket              ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,13,ที่อยู่อาศัย เครื่องแต่งบ้านและเครื่องใช้,Household operation, furnitures and equipment,2558,3170.9,0,0,6054.6,7918,2966.7,3519.3,4667.6,3726.2,5699.1
83,ภูเก็ต              ,Phuket              ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,14,เครื่องนุ่งห่มและรองเท้า,Apparel and footwear ,2558,0,0,0,622.5,1485.4,560.6,221.4,513.6,296.9,346.2,
83,ภูเก็ต              ,Phuket              ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,15,ค่าใช้จ่ายส่วนบุคคล,Personal care,2558,818.9,0,0,1373.1,2548.4,713.7,555.4,1114,841.7,819.1,
83,ภูเก็ต              ,Phuket              ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,16,เวชภัณฑ์ และค่าตรวจรักษาพยาบาล,Medical and health care,2558,54.8,0,0,333.3,690.4,63,63.2,196.6,91.2,1385,
83,ภูเก็ต              ,Phuket              ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,17,การเดินทาง และการสื่อสาร,Transport and communication,2558,2357.4,0,0,7028.4,9141,1927.7,2073.2,4888.2,3477.2,3174.6,
83,ภูเก็ต              ,Phuket              ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,18,การศึกษา,Education,2558,157.8,0,0,325.3,714.2,0,50.7,296,48.4,643.9,
83,ภูเก็ต              ,Phuket              ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,19,การบันเทิง การอ่านและกิจกรรมทางศาสนา,Recreation, Reading and Religious Activity,2558,0,0,0,0,9,0,0,0,0,0
83,ภูเก็ต              ,Phuket              ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,20,การจัดงานพิธีในโอกาสพิเศษ,Special ceremony expenses,2558,203,0,0,329,337,229,121,160,65,173,
83,ภูเก็ต              ,Phuket              ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,21,ค่าใช้จ่ายที่ไม่เกี่ยวกับการอุปโภคบริโภค ,Non - consumption expenditures,2558,4268.6,0,0,3228.4,6109.9,5779.7,3577.5,3902.7,3001.9,1704.5,
90,สงขลา               ,Songkhla            ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,10,อาหารและเครื่องดื่ม (ไม่มีแอลกอฮอล์),Food and Beverages (excludes alcoholic),2556,6726.1,9236.2,6841.1,7750.3,8239.8,6344.9,6385.4,7113.8,6751.1,5252.4,
90,สงขลา               ,Songkhla            ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,11,เครื่องดื่มที่มีแอลกอฮอล์ ,Alcoholic beverages ,2556,221.9,187.6,0,138.8,294.7,361.8,670,239.7,283.7,24.8,
90,สงขลา               ,Songkhla            ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,12,ยาสูบ หมาก ยานัตถุ์ และอื่นๆ,Tobacco products,2556,167.6,428.8,152,130.8,90.8,179.6,480.6,134.6,271.1,27.3,
90,สงขลา               ,Songkhla            ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,13,ที่อยู่อาศัย เครื่องแต่งบ้านและเครื่องใช้,Household operation, furnitures and equipment,2556,4146,4787.3,2765.4,4504.2,5541.3,3064.9,3568.7,3641.6,3445.7,3611.4
90,สงขลา               ,Songkhla            ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,14,เครื่องนุ่งห่มและรองเท้า,Apparel and footwear ,2556,961.8,1099,90.6,758.8,1724.5,447.4,254.5,729,507.8,556.7,
90,สงขลา               ,Songkhla            ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,15,ค่าใช้จ่ายส่วนบุคคล,Personal care,2556,732,1153.2,509.3,819.9,1249.5,600.9,422.5,703.7,629.3,463,
90,สงขลา               ,Songkhla            ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,16,เวชภัณฑ์ และค่าตรวจรักษาพยาบาล,Medical and health care,2556,249.1,0,175.9,278.4,487,196,318.9,174.2,337,366.6,
90,สงขลา               ,Songkhla            ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,17,การเดินทาง และการสื่อสาร,Transport and communication,2556,6338.5,6676.2,3384.6,6653.5,9715.2,3024.5,1841.5,3934.2,3383.1,2498.7,
90,สงขลา               ,Songkhla            ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,18,การศึกษา,Education,2556,256.6,226.9,162.8,915.3,1058.2,127.1,148.8,400.5,412,525,
90,สงขลา               ,Songkhla            ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,19,การบันเทิง การอ่านและกิจกรรมทางศาสนา,Recreation, Reading and Religious Activity,2556,324.3,409.3,205.9,420,666,198.6,140.8,225,157.3,249.4
90,สงขลา               ,Songkhla            ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,20,การจัดงานพิธีในโอกาสพิเศษ,Special ceremony expenses,2556,55.7,0,0,1.6,0,0,0,2.4,0,0,
90,สงขลา               ,Songkhla            ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,21,ค่าใช้จ่ายที่ไม่เกี่ยวกับการอุปโภคบริโภค ,Non - consumption expenditures,2556,3215.5,1226.1,3291.2,4139.6,6500,1383.6,2622.3,3391.2,2993.6,1136.9,
90,สงขลา               ,Songkhla            ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,10,อาหารและเครื่องดื่ม (ไม่มีแอลกอฮอล์),Food and Beverages (excludes alcoholic),2558,7222.4,0,6878.3,7914.4,9796.9,6895.2,8900.3,7659.5,7531.3,5283,
90,สงขลา               ,Songkhla            ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,11,เครื่องดื่มที่มีแอลกอฮอล์ ,Alcoholic beverages ,2558,31.9,0,106.2,118.6,89.4,22.3,174.5,82.1,325.4,25.6,
90,สงขลา               ,Songkhla            ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,12,ยาสูบ หมาก ยานัตถุ์ และอื่นๆ,Tobacco products,2558,31.5,0,69.2,40.1,21.6,64.1,284.1,45.1,77,3.4,
90,สงขลา               ,Songkhla            ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,13,ที่อยู่อาศัย เครื่องแต่งบ้านและเครื่องใช้,Household operation, furnitures and equipment,2558,4035.4,0,3273.2,4540,5893.1,3128.6,3277.3,4922.9,3527.9,4318.4
90,สงขลา               ,Songkhla            ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,14,เครื่องนุ่งห่มและรองเท้า,Apparel and footwear ,2558,365.2,0,144.1,634.9,1859.7,398.9,569.3,1410.7,534.6,530.9,
90,สงขลา               ,Songkhla            ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,15,ค่าใช้จ่ายส่วนบุคคล,Personal care,2558,673.2,0,600.2,947.1,2202.3,730.7,394.9,1009.1,733.9,587.8,
90,สงขลา               ,Songkhla            ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,16,เวชภัณฑ์ และค่าตรวจรักษาพยาบาล,Medical and health care,2558,235.7,0,108.3,285,489.3,86.5,116.2,253.8,106.3,189.7,
90,สงขลา               ,Songkhla            ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,17,การเดินทาง และการสื่อสาร,Transport and communication,2558,4168.3,0,4762.8,5144.8,9681.9,2585.1,2262.9,5345.1,4337.8,2334.1,
90,สงขลา               ,Songkhla            ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,18,การศึกษา,Education,2558,148.4,0,76,579.4,563.2,154.7,138.2,474.5,217.9,633.2,
90,สงขลา               ,Songkhla            ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,19,การบันเทิง การอ่านและกิจกรรมทางศาสนา,Recreation, Reading and Religious Activity,2558,335.6,0,195,462.9,419.3,183.4,111.9,254.2,163.8,319.3
90,สงขลา               ,Songkhla            ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,20,การจัดงานพิธีในโอกาสพิเศษ,Special ceremony expenses,2558,0,0,0,11.8,27.4,0,0,11.4,145.8,27.9,
90,สงขลา               ,Songkhla            ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,21,ค่าใช้จ่ายที่ไม่เกี่ยวกับการอุปโภคบริโภค ,Non - consumption expenditures,2558,2625.8,0,1458.9,3596.9,9854,1688.3,3204,4973.8,3894.7,1647.8,
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,11,เครื่องดื่มที่มีแอลกอฮอล์ ,Alcoholic beverages ,2558,0,0,0,40,76,0,28,113,241,0,
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,11,เครื่องดื่มที่มีแอลกอฮอล์ ,Alcoholic beverages ,2560,0,0,0,239,207,0,288,288,319,0,
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,12,ยาสูบ หมาก ยานัตถุ์ และอื่นๆ,Tobacco products,2560,0,0,0,93,133,0,123,256,128,0,
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,13,ที่อยู่อาศัย เครื่องแต่งบ้านและเครื่องใช้,Household operation, furnitures and equipment,2560,0,0,0,4673,7022,0,2829,4410,3802,5591
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,14,เครื่องนุ่งห่มและรองเท้า,Apparel and footwear ,2560,0,0,0,240,833,0,82,254,289,180,
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,15,ค่าใช้จ่ายส่วนบุคคล,Personal care,2560,600,0,0,801,1232,0,513,770,802,655,
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,16,เวชภัณฑ์ และค่าตรวจรักษาพยาบาล,Medical and health care,2560,0,0,0,206,441,0,64,287,266,340,
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,17,การเดินทาง และการสื่อสาร,Transport and communication,2560,1525,0,0,5300,10057,0,1685,4398,4318,2496,
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,18,การศึกษา,Education,2560,0,0,0,586,1155,0,0,221,199,492,
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,19,การบันเทิง การอ่านและกิจกรรมทางศาสนา,Recreation, Reading and Religious Activity,2560,100,0,0,435,525,0,106,257,287,361
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,20,การจัดงานพิธีในโอกาสพิเศษ,Special ceremony expenses,2560,0,0,0,0,0,0,0,0,0,155,
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,21,ค่าใช้จ่ายที่ไม่เกี่ยวกับการอุปโภคบริโภค ,Non - consumption expenditures,2560,200,0,0,2463,6501,0,1899,3239,3725,1674,
12,นนทบุรี             ,Nonthaburi          ,3,ภาคเหนือ,Northern,10,อาหารและเครื่องดื่ม (ไม่มีแอลกอฮอล์),Food and Beverages (excludes alcoholic),2556,6635,7470,0,8073,10142,0,6140,6611,6490,6030,
12,นนทบุรี             ,Nonthaburi          ,3,ภาคเหนือ,Northern,11,เครื่องดื่มที่มีแอลกอฮอล์ ,Alcoholic beverages ,2556,0,0,0,320,339,0,555,377,367,33,
12,นนทบุรี             ,Nonthaburi          ,3,ภาคเหนือ,Northern,12,ยาสูบ หมาก ยานัตถุ์ และอื่นๆ,Tobacco products,2556,0,8,0,360,92,0,702,183,221,16,
12,นนทบุรี             ,Nonthaburi          ,3,ภาคเหนือ,Northern,13,ที่อยู่อาศัย เครื่องแต่งบ้านและเครื่องใช้,Household operation, furnitures and equipment,2556,5990,3489,0,6170,10002,0,3154,4562,3943,6686
12,นนทบุรี             ,Nonthaburi          ,3,ภาคเหนือ,Northern,14,เครื่องนุ่งห่มและรองเท้า,Apparel and footwear ,2556,400,296,0,676,1547,0,293,469,523,439,
12,นนทบุรี             ,Nonthaburi          ,3,ภาคเหนือ,Northern,15,ค่าใช้จ่ายส่วนบุคคล,Personal care,2556,919,519,0,683,1525,0,411,597,415,504,
12,นนทบุรี             ,Nonthaburi          ,3,ภาคเหนือ,Northern,16,เวชภัณฑ์ และค่าตรวจรักษาพยาบาล,Medical and health care,2556,0,532,0,580,795,0,178,160,211,298,
12,นนทบุรี             ,Nonthaburi          ,3,ภาคเหนือ,Northern,17,การเดินทาง และการสื่อสาร,Transport and communication,2556,10151,4860,0,6068,11906,0,2027,3809,4891,3662,
12,นนทบุรี             ,Nonthaburi          ,3,ภาคเหนือ,Northern,18,การศึกษา,Education,2556,0,0,0,1173,1260,0,155,282,292,1078,
12,นนทบุรี             ,Nonthaburi          ,3,ภาคเหนือ,Northern,19,การบันเทิง การอ่านและกิจกรรมทางศาสนา,Recreation, Reading and Religious Activity,2556,230,136,0,631,801,0,176,256,171,628
12,นนทบุรี             ,Nonthaburi          ,3,ภาคเหนือ,Northern,20,การจัดงานพิธีในโอกาสพิเศษ,Special ceremony expenses,2556,0,0,0,60,136,0,0,1,162,0,
12,นนทบุรี             ,Nonthaburi          ,3,ภาคเหนือ,Northern,21,ค่าใช้จ่ายที่ไม่เกี่ยวกับการอุปโภคบริโภค ,Non - consumption expenditures,2556,904,4303,0,3408,7370,0,2287,2607,3637,950,
12,นนทบุรี             ,Nonthaburi          ,3,ภาคเหนือ,Northern,10,อาหารและเครื่องดื่ม (ไม่มีแอลกอฮอล์),Food and Beverages (excludes alcoholic),2558,7792,6189,5581,9103,11344,3941,5330,8393,8406,7431,
12,นนทบุรี             ,Nonthaburi          ,3,ภาคเหนือ,Northern,11,เครื่องดื่มที่มีแอลกอฮอล์ ,Alcoholic beverages ,2558,0,396,0,149,188,1306,592,309,283,27,
12,นนทบุรี             ,Nonthaburi          ,3,ภาคเหนือ,Northern,12,ยาสูบ หมาก ยานัตถุ์ และอื่นๆ,Tobacco products,2558,473,125,129,198,41,579,306,225,283,14,
12,นนทบุรี             ,Nonthaburi          ,3,ภาคเหนือ,Northern,13,ที่อยู่อาศัย เครื่องแต่งบ้านและเครื่องใช้,Household operation, furnitures and equipment,2558,5591,4474,3405,5911,9783,2972,3569,4833,4831,7577
12,นนทบุรี             ,Nonthaburi          ,3,ภาคเหนือ,Northern,14,เครื่องนุ่งห่มและรองเท้า,Apparel and footwear ,2558,0,214,0,577,1108,94,312,628,466,686,
12,นนทบุรี             ,Nonthaburi          ,3,ภาคเหนือ,Northern,15,ค่าใช้จ่ายส่วนบุคคล,Personal care,2558,760,804,224,1012,1656,162,482,887,758,806,
12,นนทบุรี             ,Nonthaburi          ,3,ภาคเหนือ,Northern,16,เวชภัณฑ์ และค่าตรวจรักษาพยาบาล,Medical and health care,2558,60,28,40,271,828,81,73,175,134,602,
12,นนทบุรี             ,Nonthaburi          ,3,ภาคเหนือ,Northern,17,การเดินทาง และการสื่อสาร,Transport and communication,2558,4309,6039,5593,5427,13148,978,2279,5778,5219,4196,
12,นนทบุรี             ,Nonthaburi          ,3,ภาคเหนือ,Northern,18,การศึกษา,Education,2558,0,0,0,766,1390,0,50,570,573,257,
12,นนทบุรี             ,Nonthaburi          ,3,ภาคเหนือ,Northern,19,การบันเทิง การอ่านและกิจกรรมทางศาสนา,Recreation, Reading and Religious Activity,2558,310,52,100,472,624,103,124,348,257,448
12,นนทบุรี             ,Nonthaburi          ,3,ภาคเหนือ,Northern,20,การจัดงานพิธีในโอกาสพิเศษ,Special ceremony expenses,2558,0,0,0,3,19,0,0,28,10,104,
12,นนทบุรี             ,Nonthaburi          ,3,ภาคเหนือ,Northern,21,ค่าใช้จ่ายที่ไม่เกี่ยวกับการอุปโภคบริโภค ,Non - consumption expenditures,2558,463,5188,1622,3713,9534,901,3955,3816,4722,1515,
12,นนทบุรี             ,Nonthaburi          ,3,ภาคเหนือ,Northern,10,อาหารและเครื่องดื่ม (ไม่มีแอลกอฮอล์),Food and Beverages (excludes alcoholic),2559,9288,6999,12009,14385,8748,0,0,0,0,0,
12,นนทบุรี             ,Nonthaburi          ,3,ภาคเหนือ,Northern,11,เครื่องดื่มที่มีแอลกอฮอล์ ,Alcoholic beverages ,2559,282,258,264,503,273,0,0,0,0,0,
12,นนทบุรี             ,Nonthaburi          ,3,ภาคเหนือ,Northern,12,ยาสูบ หมาก ยานัตถุ์ และอื่นๆ,Tobacco products,2559,147,102,192,276,118,0,0,0,0,0,
12,นนทบุรี             ,Nonthaburi          ,3,ภาคเหนือ,Northern,13,ที่อยู่อาศัย เครื่องแต่งบ้านและเครื่องใช้,Household operation, furnitures and equipment,2559,5897,5122,7129,6531,4830,0,0,0,0,0
12,นนทบุรี             ,Nonthaburi          ,3,ภาคเหนือ,Northern,14,เครื่องนุ่งห่มและรองเท้า,Apparel and footwear ,2559,832,817,907,682,205,0,0,0,0,0,
12,นนทบุรี             ,Nonthaburi          ,3,ภาคเหนือ,Northern,15,ค่าใช้จ่ายส่วนบุคคล,Personal care,2559,815,660,1010,1101,1203,0,0,0,0,0,
12,นนทบุรี             ,Nonthaburi          ,3,ภาคเหนือ,Northern,16,เวชภัณฑ์ และค่าตรวจรักษาพยาบาล,Medical and health care,2559,541,538,497,712,746,0,0,0,0,0,
12,นนทบุรี             ,Nonthaburi          ,3,ภาคเหนือ,Northern,17,การเดินทาง และการสื่อสาร,Transport and communication,2559,6311,4363,8627,10658,5414,0,0,0,0,0,
12,นนทบุรี             ,Nonthaburi          ,3,ภาคเหนือ,Northern,18,การศึกษา,Education,2559,650,82,1494,1276,1238,0,0,0,0,0,
12,นนทบุรี             ,Nonthaburi          ,3,ภาคเหนือ,Northern,19,การบันเทิง การอ่านและกิจกรรมทางศาสนา,Recreation, Reading and Religious Activity,2559,303,269,365,307,225,0,0,0,0,0
12,นนทบุรี             ,Nonthaburi          ,3,ภาคเหนือ,Northern,20,การจัดงานพิธีในโอกาสพิเศษ,Special ceremony expenses,2559,14,9,8,67,0,0,0,0,0,0,
12,นนทบุรี             ,Nonthaburi          ,3,ภาคเหนือ,Northern,21,ค่าใช้จ่ายที่ไม่เกี่ยวกับการอุปโภคบริโภค ,Non - consumption expenditures,2559,3749,3630,4021,3622,1813,0,0,0,0,0,
13,ปทุมธานี            ,Pathum Thani        ,3,ภาคเหนือ,Northern,10,อาหารและเครื่องดื่ม (ไม่มีแอลกอฮอล์),Food and Beverages (excludes alcoholic),2556,10165,7337,0,8475,9900,6925,7224,8152,7147,4882,
13,ปทุมธานี            ,Pathum Thani        ,3,ภาคเหนือ,Northern,11,เครื่องดื่มที่มีแอลกอฮอล์ ,Alcoholic beverages ,2556,0,61,0,203,172,174,329,130,58,259,
13,ปทุมธานี            ,Pathum Thani        ,3,ภาคเหนือ,Northern,12,ยาสูบ หมาก ยานัตถุ์ และอื่นๆ,Tobacco products,2556,334,79,0,72,95,78,45,84,31,29,
13,ปทุมธานี            ,Pathum Thani        ,3,ภาคเหนือ,Northern,13,ที่อยู่อาศัย เครื่องแต่งบ้านและเครื่องใช้,Household operation, furnitures and equipment,2556,4994,5284,0,5982,9669,4045,3884,6006,3973,5038
13,ปทุมธานี            ,Pathum Thani        ,3,ภาคเหนือ,Northern,14,เครื่องนุ่งห่มและรองเท้า,Apparel and footwear ,2556,1033,477,0,565,1429,73,309,795,282,585,
13,ปทุมธานี            ,Pathum Thani        ,3,ภาคเหนือ,Northern,15,ค่าใช้จ่ายส่วนบุคคล,Personal care,2556,596,581,0,945,1707,409,546,1036,579,656,
13,ปทุมธานี            ,Pathum Thani        ,3,ภาคเหนือ,Northern,16,เวชภัณฑ์ และค่าตรวจรักษาพยาบาล,Medical and health care,2556,1503,457,0,285,482,131,184,540,220,79,
13,ปทุมธานี            ,Pathum Thani        ,3,ภาคเหนือ,Northern,17,การเดินทาง และการสื่อสาร,Transport and communication,2556,8733,8800,0,9624,15513,4474,3935,8666,6896,4634,
13,ปทุมธานี            ,Pathum Thani        ,3,ภาคเหนือ,Northern,18,การศึกษา,Education,2556,71,282,0,617,1134,174,61,516,140,1401,
13,ปทุมธานี            ,Pathum Thani        ,3,ภาคเหนือ,Northern,19,การบันเทิง การอ่านและกิจกรรมทางศาสนา,Recreation, Reading and Religious Activity,2556,785,458,0,425,877,193,270,597,207,451
13,ปทุมธานี            ,Pathum Thani        ,3,ภาคเหนือ,Northern,20,การจัดงานพิธีในโอกาสพิเศษ,Special ceremony expenses,2556,0,0,0,261,176,0,0,24,1,9,
13,ปทุมธานี            ,Pathum Thani        ,3,ภาคเหนือ,Northern,21,ค่าใช้จ่ายที่ไม่เกี่ยวกับการอุปโภคบริโภค ,Non - consumption expenditures,2556,3786,1338,0,3724,8839,330,1706,4127,2829,1734,
13,ปทุมธานี            ,Pathum Thani        ,3,ภาคเหนือ,Northern,10,อาหารและเครื่องดื่ม (ไม่มีแอลกอฮอล์),Food and Beverages (excludes alcoholic),2558,10252,7780,0,8962,11003,4677,7610,8108,7685,7782,
13,ปทุมธานี            ,Pathum Thani        ,3,ภาคเหนือ,Northern,11,เครื่องดื่มที่มีแอลกอฮอล์ ,Alcoholic beverages ,2558,0,301,0,237,123,0,180,122,90,245,
13,ปทุมธานี            ,Pathum Thani        ,3,ภาคเหนือ,Northern,12,ยาสูบ หมาก ยานัตถุ์ และอื่นๆ,Tobacco products,2558,0,198,0,73,34,0,174,88,56,26,
13,ปทุมธานี            ,Pathum Thani        ,3,ภาคเหนือ,Northern,13,ที่อยู่อาศัย เครื่องแต่งบ้านและเครื่องใช้,Household operation, furnitures and equipment,2558,5228,5007,0,5753,6753,3748,3554,4462,4447,6676
13,ปทุมธานี            ,Pathum Thani        ,3,ภาคเหนือ,Northern,14,เครื่องนุ่งห่มและรองเท้า,Apparel and footwear ,2558,726,549,0,703,1110,56,273,468,376,472,
13,ปทุมธานี            ,Pathum Thani        ,3,ภาคเหนือ,Northern,15,ค่าใช้จ่ายส่วนบุคคล,Personal care,2558,1073,952,0,1225,1626,591,663,1031,834,989,
13,ปทุมธานี            ,Pathum Thani        ,3,ภาคเหนือ,Northern,16,เวชภัณฑ์ และค่าตรวจรักษาพยาบาล,Medical and health care,2558,350,359,0,347,826,66,208,240,164,997,
13,ปทุมธานี            ,Pathum Thani        ,3,ภาคเหนือ,Northern,17,การเดินทาง และการสื่อสาร,Transport and communication,2558,9814,7905,0,9926,13115,1265,2986,7235,7456,7602,
